Platform	Name	Entity	Last IP address	Device model	Device type	OS version and architecture	OS name	Total RAM [bytes]	CPU model	Hard disks	DXS - Device (DXS - Device)	DXS - Web browsing (DXS - Web browsing)	DXS - Security (DXS - Security)	DXS - Productivity (DXS - Productivity)	DXS - Business apps (DXS - Business apps)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)
Windows	MIDCHEMISTRY-D2	Middletown (CT)	10.8.1.141	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Western Digital (149GB, 90% S.M.A.R.T.)											
Windows	MIDCHEMLAB-D01	Middletown (CT)	10.8.1.182	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.7128	10	10	8.59169	6.11171	10	10	10	10		10
Windows	MIDCHEMLAB-D02	Middletown (CT)	10.8.1.187	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.07965	10	10	8.67472	5.90341	10	10	10	10		10
Windows	MIDCONFROOM-D01	Middletown (CT)	10.8.1.200	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.7319	10	10	6.58669	5.88069	10	10	10	10		10
Windows	MIDCONTROLS-D01	Middletown (CT)	10.8.1.198	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	0		10		5.21943	10	10	10	10		10
Windows	MIDCONTROLS-D1	Middletown (CT)	10.8.1.177	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Samsung (149GB, 100% S.M.A.R.T.)											
Windows	MIDCTRLRM12-D01	Middletown (CT)	10.8.1.51	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 90% S.M.A.R.T.)	9.4469	9.93818	10	8.88979	6.41206	10	10	10	10		10
Windows	MIDCTRLRM34-D01	Middletown (CT)	10.8.1.163	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 80% S.M.A.R.T.)	9.83465	9.34884	10	8.62541	5.75949	10	10	10	10		10
Windows	MIDDFULLER-L01	Middletown (CT)	10.8.1.87	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	8.45009	7.84431	10	7.75743	6.62106	10	10	10	10		10
Windows	MIDDFULLER-L1	Middletown (CT)	10.8.1.169	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 100% S.M.A.R.T.)											
Windows	MIDDPICKOWI-L01	Middletown (CT)	10.8.1.91	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3380M CPU @ 2.90GHz	Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B), Samsung (119.2GB, 100% S.M.A.R.T.)	9.73945	10	10	8.75482	6.27497	10	10	10	10		10
Windows	MIDDPICKOWIT-L1	Middletown (CT)	10.8.1.158	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 90% S.M.A.R.T.), Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B), Generic STORAGE DEVICE USB Device (0B)											
Windows	MIDDRAWING-D01	Middletown (CT)	10.8.1.78	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	HP Officejet 6500 E USB Device (0B), Samsung (119.2GB, 100% S.M.A.R.T.)	9.6272		10		5.79634	10	10	10	10		10
Windows	MIDDREPACI-D1	Middletown (CT)	10.8.1.170	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Seagate (149GB, 100% S.M.A.R.T.)	9.99397		10		5.47177	10	10	10	10		10
Windows	MIDDREPACI-L01	Middletown (CT)	10.8.1.181	Latitude E7450	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	17179869184	Intel Core i5-5200U CPU @ 2.20GHz	LITEON (119.2GB, 100% S.M.A.R.T.)	9.6223	9.93392	10	9.05676	6.53511	10	10	10	10		10
Windows	MIDDREPACI-L1	Middletown (CT)	10.8.1.68	Latitude E7450	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i5-5200U CPU @ 2.20GHz	Samsung (238.5GB, 100% S.M.A.R.T.)											
